ageband,year,pop,deaths,people,rate
30-34,2012,Female Non-Maori,2,118750,1.68421052631579
35-39,2012,Female Non-Maori,7,126950,5.51398188263096
40-44,2012,Female Non-Maori,6,143990,4.16695603861379
45-49,2012,Female Non-Maori,7,142830,4.90093117692362
50-54,2012,Female Non-Maori,9,138840,6.48228176318064
55-59,2012,Female Non-Maori,7,121580,5.75752590886659
60-64,2012,Female Non-Maori,2,111080,1.80050414115952
65-69,2012,Female Non-Maori,1,90700,1.10253583241455
70-74,2012,Female Non-Maori,0,73130,0
75-79,2012,Female Non-Maori,3,53640,5.59284116331096
80+,2012,Female Non-Maori,5,89780,5.56916907997327
Total,2012,Female Non-Maori,75,1903450,3.94021382227009
00-04,2013,Female Non-Maori,0,110920,0
05-09,2013,Female Non-Maori,0,108960,0
10-14,2013,Female Non-Maori,1,109790,0.91082976591675
15-19,2013,Female Non-Maori,11,118700,9.2670598146588
20-24,2013,Female Non-Maori,4,125780,3.18015582763555
25-29,2013,Female Non-Maori,4,118660,3.37097589752233
30-34,2013,Female Non-Maori,8,120200,6.65557404326123
35-39,2013,Female Non-Maori,9,123300,7.2992700729927
40-44,2013,Female Non-Maori,7,143440,4.88008923591746
45-49,2013,Female Non-Maori,7,141030,4.96348294689073
50-54,2013,Female Non-Maori,17,141860,11.9836458480192
55-59,2013,Female Non-Maori,5,124410,4.01896953621092
60-64,2013,Female Non-Maori,4,111880,3.57525920629246
65-69,2013,Female Non-Maori,0,97140,0
70-74,2013,Female Non-Maori,0,74800,0
75-79,2013,Female Non-Maori,2,55010,3.63570259952736
80+,2013,Female Non-Maori,1,90760,1.10180696342001
Total,2013,Female Non-Maori,80,1916610,4.1740364497733
00-04,1996,Male,0,152260,0
05-09,1996,Male,0,151780,0
10-14,1996,Male,3,138270,2.16966804078976
15-19,1996,Male,37,137990,26.8135372128415
20-24,1996,Male,68,140360,48.4468509546879
25-29,1996,Male,63,139280,45.2326249282022
30-34,1996,Male,58,147800,39.2422192151556
35-39,1996,Male,42,145520,28.8620120945574
40-44,1996,Male,26,130790,19.8791956571603
45-49,1996,Male,26,124710,20.8483682142571
50-54,1996,Male,19,97090,19.5694716242661
55-59,1996,Male,21,81910,25.6378952508851
60-64,1996,Male,13,68470,18.9864174090843
65-69,1996,Male,19,66270,28.6705900105628
70-74,1996,Male,16,52800,30.3030303030303
75-79,1996,Male,5,34270,14.5900204260286
80+,1996,Male,14,32200,43.4782608695652
Total,1996,Male,430,1841770,23.3471063162067
00-04,1997,Male,0,150390,0
05-09,1997,Male,0,155940,0
10-14,1997,Male,5,140450,3.55998576005696
15-19,1997,Male,54,138210,39.0709789450836
20-24,1997,Male,60,137150,43.74772147284
25-29,1997,Male,71,140310,50.6022379017889
30-34,1997,Male,54,146550,36.8474923234391
35-39,1997,Male,40,149520,26.7522739432852
40-44,1997,Male,38,134150,28.3265001863586
45-49,1997,Male,22,125610,17.5145290980018
50-54,1997,Male,20,102690,19.476093095725
55-59,1997,Male,16,85740,18.6610683461628
60-64,1997,Male,16,68710,23.286275651288
65-69,1997,Male,11,65890,16.6944908180301
70-74,1997,Male,15,53950,27.8035217794254
75-79,1997,Male,7,35750,19.5804195804196
80+,1997,Male,12,33200,36.144578313253
Total,1997,Male,441,1864210,23.6561331609636
00-04,1998,Male,0,149030,0
05-09,1998,Male,0,157210,0
10-14,1998,Male,8,143480,5.57568999163647
15-19,1998,Male,40,138360,28.9100896212778
20-24,1998,Male,67,132980,50.3835163182434
25-29,1998,Male,68,138520,49.0903840600635
30-34,1998,Male,47,144140,32.6071874566394
35-39,1998,Male,46,152180,30.2273623340781
40-44,1998,Male,36,137100,26.2582056892779
45-49,1998,Male,32,125940,25.4089248848658
50-54,1998,Male,17,109540,15.5194449516158
55-59,1998,Male,24,87700,27.3660205245154
60-64,1998,Male,18,70060,25.6922637739081
65-69,1998,Male,14,65150,21.4888718342287
70-74,1998,Male,14,55160,25.3807106598985
75-79,1998,Male,15,37540,39.957378795951
80+,1998,Male,7,34000,20.5882352941176
Total,1998,Male,453,1878090,24.120249828283
00-04,1999,Male,0,146900,0
05-09,1999,Male,0,157040,0
10-14,1999,Male,3,146620,2.04610557904788
15-19,1999,Male,30,138430,21.6716029762335
20-24,1999,Male,51,129430,39.4035385922893
25-29,1999,Male,55,134550,40.8769973987365
30-34,1999,Male,48,141890,33.8290224822045
35-39,1999,Male,45,152740,29.4618305617389
40-44,1999,Male,29,139870,20.7335382855509
45-49,1999,Male,24,126520,18.9693329117926
50-54,1999,Male,26,114880,22.6323119777159
55-59,1999,Male,19,90270,21.0479672094827
60-64,1999,Male,15,71960,20.8449138410228
65-69,1999,Male,4,64680,6.18429189857761
70-74,1999,Male,15,56060,26.7570460221192
75-79,1999,Male,9,39340,22.8774783934926
80+,1999,Male,8,34800,22.9885057471264
Total,1999,Male,381,1885980,20.2016988515255
00-04,2000,Male,0,145600,0
05-09,2000,Male,0,155450,0
10-14,2000,Male,3,150160,1.99786893979755
15-19,2000,Male,29,139410,20.8019510795495
20-24,2000,Male,50,127680,39.1604010025063
25-29,2000,Male,56,130330,42.9678508401749
30-34,2000,Male,49,140530,34.8679997153633
35-39,2000,Male,37,151440,24.432118330692
40-44,2000,Male,27,142610,18.9327536638384
45-49,2000,Male,21,127430,16.4796358785215
50-54,2000,Male,21,119070,17.636684303351
55-59,2000,Male,19,92200,20.6073752711497
60-64,2000,Male,9,75100,11.9840213049268
65-69,2000,Male,11,64230,17.1259536042348
70-74,2000,Male,12,56770,21.1379249603664
75-79,2000,Male,5,40630,12.306177701206
80+,2000,Male,7,36400,19.2307692307692
Total,2000,Male,356,1895040,18.7858831475853
00-04,2001,Male,0,144090,0
05-09,2001,Male,0,152850,0
10-14,2001,Male,1,153900,0.649772579597141
15-19,2001,Male,30,141670,21.1759723300628
20-24,2001,Male,58,128510,45.1326745000389
25-29,2001,Male,41,125240,32.7371446822102
30-34,2001,Male,44,139810,31.47128245476
35-39,2001,Male,46,148990,30.8745553392845
40-44,2001,Male,46,145200,31.6804407713499
45-49,2001,Male,17,129190,13.1589132285781
50-54,2001,Male,14,121830,11.4914224739391
55-59,2001,Male,18,94390,19.0698167178727
60-64,2001,Male,15,79280,18.920282542886
65-69,2001,Male,14,63930,21.8989519787267
70-74,2001,Male,10,57430,17.4125021765628
75-79,2001,Male,13,41830,31.0781735596462
80+,2001,Male,9,38200,23.5602094240838
Total,2001,Male,376,1906340,19.7236589485611
00-04,2002,Male,0,143880,0
05-09,2002,Male,0,151470,0
10-14,2002,Male,0,157720,0
15-19,2002,Male,24,146230,16.4125008548178
20-24,2002,Male,40,133350,29.9962504686914
25-29,2002,Male,40,123310,32.4385694590869
30-34,2002,Male,39,141150,27.6301806588735
35-39,2002,Male,41,147960,27.7101919437686
40-44,2002,Male,39,149420,26.1009235711417
45-49,2002,Male,26,132710,19.5915906864592
50-54,2002,Male,24,122500,19.5918367346939
55-59,2002,Male,24,99880,24.0288346015218
60-64,2002,Male,13,82960,15.6702025072324
65-69,2002,Male,10,64610,15.4774802662127
70-74,2002,Male,8,57580,13.8937130948246
75-79,2002,Male,4,43100,9.28074245939675
80+,2002,Male,9,39900,22.5563909774436
Total,2002,Male,341,1937730,17.597910957667
00-04,2003,Male,0,144260,0
05-09,2003,Male,0,151420,0
10-14,2003,Male,4,160350,2.49454318677892
15-19,2003,Male,36,150160,23.9744272775706
20-24,2003,Male,31,140350,22.0876380477378
25-29,2003,Male,33,123460,26.729305038069
30-34,2003,Male,41,142430,28.7860703503475
35-39,2003,Male,39,147580,26.4263450332023
40-44,2003,Male,40,153870,25.9959706245532
45-49,2003,Male,29,136970,21.172519529824
50-54,2003,Male,23,123310,18.6521774389749
55-59,2003,Male,18,106810,16.8523546484412
60-64,2003,Male,15,84900,17.6678445229682
65-69,2003,Male,7,66180,10.5772136597159
70-74,2003,Male,11,57340,19.183815835368
75-79,2003,Male,14,44530,31.4394790029194
80+,2003,Male,11,41700,26.378896882494
Total,2003,Male,352,1975620,17.8171915651795
00-04,2004,Male,0,145410,0
05-09,2004,Male,0,150580,0
10-14,2004,Male,4,161430,2.47785417828161
15-19,2004,Male,34,152800,22.2513089005236
20-24,2004,Male,46,143900,31.9666435024322
25-29,2004,Male,41,124030,33.0565185842135
30-34,2004,Male,33,141810,23.2705733023059
35-39,2004,Male,44,147530,29.824442486274
40-44,2004,Male,35,156330,22.3885370690207
45-49,2004,Male,32,141320,22.6436456269459
50-54,2004,Male,18,124790,14.4242327109544
55-59,2004,Male,22,112300,19.5903829029386
60-64,2004,Male,16,87600,18.2648401826484
65-69,2004,Male,9,68140,13.2081009685941
70-74,2004,Male,8,57270,13.9689191548804
75-79,2004,Male,11,45550,24.1492864983535
80+,2004,Male,16,43600,36.697247706422
Total,2004,Male,369,2004390,18.4095909478694
00-04,2005,Male,0,145500,0
05-09,2005,Male,0,149870,0
10-14,2005,Male,2,160850,1.24339446689462
15-19,2005,Male,38,155530,24.432585353308
20-24,2005,Male,47,145250,32.3580034423408
25-29,2005,Male,43,124980,34.4055048807809
30-34,2005,Male,36,139750,25.7602862254025
35-39,2005,Male,37,147830,25.0287492389907
40-44,2005,Male,33,156770,21.0499457804427
45-49,2005,Male,28,145360,19.262520638415
50-54,2005,Male,26,126860,20.495033895633
55-59,2005,Male,30,116790,25.6871307474955
60-64,2005,Male,11,89830,12.245352332183
65-69,2005,Male,13,71380,18.2123844214066
70-74,2005,Male,3,57300,5.23560209424084
75-79,2005,Male,8,46530,17.1932086825704
80+,2005,Male,8,45800,17.4672489082969
Total,2005,Male,363,2026180,17.9154862845354
00-04,2006,Male,0,146460,0
05-09,2006,Male,0,149340,0
10-14,2006,Male,1,159380,0.627431296273058
15-19,2006,Male,50,159160,31.4149283739633
20-24,2006,Male,47,145810,32.2337288251835
25-29,2006,Male,33,127030,25.9781154058097
30-34,2006,Male,37,136400,27.1260997067449
35-39,2006,Male,40,149170,26.8150432392572
40-44,2006,Male,34,156000,21.7948717948718
45-49,2006,Male,28,149100,18.7793427230047
50-54,2006,Male,31,129930,23.8590010005388
55-59,2006,Male,33,119830,27.5390136026037
60-64,2006,Male,13,92270,14.0890863769373
65-69,2006,Male,8,75620,10.5792118487173
70-74,2006,Male,11,57450,19.1470844212359
75-79,2006,Male,1,47570,2.10216523018709
80+,2006,Male,13,48200,26.9709543568465
Total,2006,Male,380,2048720,18.5481666601585
00-04,2007,Male,0,150180,0
05-09,2007,Male,0,149240,0
10-14,2007,Male,1,156980,0.637023824691043
15-19,2007,Male,28,160540,17.4411361654416
20-24,2007,Male,43,144940,29.6674485994204
25-29,2007,Male,35,129340,27.0604608009896
30-34,2007,Male,45,132840,33.8753387533875
35-39,2007,Male,42,150190,27.9645782009455
40-44,2007,Male,35,154100,22.7125243348475
45-49,2007,Male,32,152410,20.9959976379503
50-54,2007,Male,30,133030,22.5513042170939
55-59,2007,Male,21,120370,17.4462075267924
60-64,2007,Male,10,97450,10.2616726526424
65-69,2007,Male,11,79180,13.8923970699672
70-74,2007,Male,8,58290,13.7244810430606
75-79,2007,Male,10,47980,20.8420175072947
80+,2007,Male,10,50600,19.7628458498024
Total,2007,Male,361,2067660,17.459350183299
00-04,2008,Male,0,154260,0
05-09,2008,Male,0,149030,0
10-14,2008,Male,2,155510,1.28609092662851
15-19,2008,Male,30,160500,18.6915887850467
20-24,2008,Male,53,144760,36.6123238463664
25-29,2008,Male,30,131480,22.8171585031944
30-34,2008,Male,35,129940,26.9355086963214
35-39,2008,Male,29,149320,19.4213769086526
40-44,2008,Male,34,151910,22.3816733592259
45-49,2008,Male,39,155300,25.1126851255634
50-54,2008,Male,33,135960,24.2718446601942
55-59,2008,Male,28,120800,23.1788079470199
60-64,2008,Male,17,104020,16.3430109594309
65-69,2008,Male,9,80890,11.1262207936704
70-74,2008,Male,6,60010,9.99833361106482
75-79,2008,Male,2,47890,4.17623721027354
80+,2008,Male,13,52900,24.5746691871456
Total,2008,Male,360,2084480,17.2704943199263
00-04,2009,Male,0,157890,0
05-09,2009,Male,0,149370,0
10-14,2009,Male,6,154880,3.87396694214876
15-19,2009,Male,44,160420,27.4280014960728
20-24,2009,Male,49,147020,33.328798802884
25-29,2009,Male,19,133490,14.2332759008165
30-34,2009,Male,40,128560,31.1138767890479
35-39,2009,Male,32,147260,21.7302729865544
40-44,2009,Male,31,150840,20.5515778308141
45-49,2009,Male,34,156740,21.6919739696312
50-54,2009,Male,35,139360,25.1148105625718
55-59,2009,Male,28,122070,22.9376587204063
60-64,2009,Male,15,109250,13.7299771167048
65-69,2009,Male,5,83500,5.98802395209581
70-74,2009,Male,10,61900,16.1550888529887
75-79,2009,Male,7,47980,14.5894122551063
80+,2009,Male,16,55200,28.9855072463768
Total,2009,Male,371,2105730,17.6185930769852
00-04,2010,Male,0,161250,0
05-09,2010,Male,0,148920,0
10-14,2010,Male,3,155490,1.9293845263361
15-19,2010,Male,28,160830,17.4096872474041
20-24,2010,Male,47,150980,31.1299509868857
25-29,2010,Male,32,134870,23.7265514940313
30-34,2010,Male,30,128070,23.4246896228625
35-39,2010,Male,36,144380,24.9342014129381
40-44,2010,Male,38,150570,25.2374310951717
45-49,2010,Male,37,156600,23.6270753512133
50-54,2010,Male,30,142850,21.0010500525026
55-59,2010,Male,23,124020,18.5453959038865
60-64,2010,Male,20,113710,17.5886025855246
65-69,2010,Male,10,85760,11.660447761194
70-74,2010,Male,11,64910,16.9465413649669
75-79,2010,Male,7,48380,14.4687887556842
80+,2010,Male,14,57400,24.390243902439
Total,2010,Male,366,2128990,17.1912503111804
00-04,2011,Male,0,163010,0
05-09,2011,Male,1,148600,0.672947510094213
10-14,2011,Male,3,155110,1.93411127586874
15-19,2011,Male,45,160440,28.0478683620045
20-24,2011,Male,50,154780,32.3039152345264
25-29,2011,Male,38,134530,28.2464877722441
30-34,2011,Male,33,128210,25.7390219171671
35-39,2011,Male,23,139710,16.462672679121
40-44,2011,Male,31,150760,20.5624834173521
45-49,2011,Male,38,154880,24.5351239669422
50-54,2011,Male,25,145850,17.1408981830648
55-59,2011,Male,26,126620,20.5338809034908
60-64,2011,Male,20,116910,17.1071764605252
65-69,2011,Male,6,88360,6.79040289723857
70-74,2011,Male,5,68800,7.26744186046512
75-79,2011,Male,5,48610,10.285949393129
80+,2011,Male,10,59700,16.750418760469
Total,2011,Male,359,2144880,16.737533102085
00-04,2012,Male,0,162170,0
05-09,2012,Male,0,150550,0
10-14,2012,Male,5,153790,3.25118668313935
15-19,2012,Male,49,159840,30.6556556556557
20-24,2012,Male,51,156860,32.5130689787071
25-29,2012,Male,36,134360,26.793688597797
30-34,2012,Male,19,128290,14.8101956504794
35-39,2012,Male,31,134950,22.9714709151538
40-44,2012,Male,45,150920,29.8171216538563
45-49,2012,Male,35,152180,22.9990800367985
50-54,2012,Male,29,148650,19.5089135553313
55-59,2012,Male,19,129440,14.6786155747837
60-64,2012,Male,13,117460,11.0675974799932
65-69,2012,Male,8,93630,8.54426999893197
70-74,2012,Male,9,72360,12.4378109452736
75-79,2012,Male,12,49420,24.2816673411574
80+,2012,Male,10,61500,16.260162601626
Total,2012,Male,371,2156370,17.2048396147229
00-04,2013,Male,0,160270,0
05-09,2013,Male,0,153660,0
10-14,2013,Male,0,152170,0
15-19,2013,Male,31,160240,19.3459810284573
20-24,2013,Male,44,159670,27.5568359741968
25-29,2013,Male,23,136230,16.883212214637
30-34,2013,Male,24,129980,18.4643791352516
35-39,2013,Male,28,131550,21.2846826301786
40-44,2013,Male,29,150120,19.3178790301092
45-49,2013,Male,44,150200,29.2942743009321
50-54,2013,Male,27,151460,17.8264888419385
55-59,2013,Male,29,132360,21.9099425808401
60-64,2013,Male,17,118070,14.3982383331922
65-69,2013,Male,8,100360,7.97130330809087
70-74,2013,Male,13,74290,17.4989904428591
75-79,2013,Male,6,51060,11.7508813160987
80+,2013,Male,15,63000,23.8095238095238
Total,2013,Male,338,2174690,15.5424451301105
00-04,1996,Male Maori,0,37680,0
05-09,1996,Male Maori,0,34820,0
10-14,1996,Male Maori,1,28190,3.54735721887194
15-19,1996,Male Maori,12,27720,43.2900432900433
20-24,1996,Male Maori,16,23480,68.1431005110733
25-29,1996,Male Maori,17,20240,83.9920948616601
30-34,1996,Male Maori,14,19680,71.1382113821138
35-39,1996,Male Maori,3,17190,17.4520069808028
40-44,1996,Male Maori,2,13740,14.5560407569141
45-49,1996,Male Maori,1,11030,9.06618313689937
50-54,1996,Male Maori,3,8010,37.4531835205993
55-59,1996,Male Maori,1,6930,14.4300144300144
60-64,1996,Male Maori,1,5080,19.6850393700787
65-69,1996,Male Maori,1,3340,29.940119760479
70-74,1996,Male Maori,0,1880,0
75-79,1996,Male Maori,0,980,0
80+,1996,Male Maori,0,650,0
Total,1996,Male Maori,72,260600,27.6285495011512
00-04,1997,Male Maori,0,37550,0
05-09,1997,Male Maori,0,35890,0
10-14,1997,Male Maori,3,29210,10.2704553235193
15-19,1997,Male Maori,16,27720,57.7200577200577
20-24,1997,Male Maori,13,23670,54.9218419940853
25-29,1997,Male Maori,20,20680,96.7117988394584
30-34,1997,Male Maori,15,19700,76.1421319796954
35-39,1997,Male Maori,4,18050,22.1606648199446
40-44,1997,Male Maori,2,14310,13.9762403913347
45-49,1997,Male Maori,2,11610,17.2265288544358
50-54,1997,Male Maori,1,8390,11.9189511323004
55-59,1997,Male Maori,1,7080,14.1242937853107
60-64,1997,Male Maori,2,5260,38.0228136882129
65-69,1997,Male Maori,0,3510,0
70-74,1997,Male Maori,0,2020,0
75-79,1997,Male Maori,0,1010,0
80+,1997,Male Maori,0,670,0
Total,1997,Male Maori,79,266300,29.6657904618851
00-04,1998,Male Maori,0,37760,0
05-09,1998,Male Maori,0,36670,0
10-14,1998,Male Maori,6,30400,19.7368421052632
15-19,1998,Male Maori,12,27470,43.6840189297415
20-24,1998,Male Maori,18,23820,75.5667506297229
25-29,1998,Male Maori,18,21080,85.3889943074004
30-34,1998,Male Maori,13,19720,65.9229208924949
35-39,1998,Male Maori,8,18940,42.2386483632524
40-44,1998,Male Maori,3,14930,20.0937709310114
45-49,1998,Male Maori,5,12110,41.2881915772089
50-54,1998,Male Maori,2,8890,22.4971878515186
55-59,1998,Male Maori,2,7190,27.8164116828929
60-64,1998,Male Maori,1,5420,18.450184501845
65-69,1998,Male Maori,0,3680,0
70-74,1998,Male Maori,2,2180,91.743119266055
75-79,1998,Male Maori,0,1050,0
80+,1998,Male Maori,0,720,0
Total,1998,Male Maori,90,272000,33.0882352941176
00-04,1999,Male Maori,0,37880,0
05-09,1999,Male Maori,0,37150,0
10-14,1999,Male Maori,1,31860,3.13873195229127
15-19,1999,Male Maori,9,27170,33.1247699668752
20-24,1999,Male Maori,15,23720,63.2377740303541
25-29,1999,Male Maori,12,21320,56.2851782363977
30-34,1999,Male Maori,12,20050,59.8503740648379
35-39,1999,Male Maori,4,19530,20.4813108038914
40-44,1999,Male Maori,5,15800,31.6455696202532
45-49,1999,Male Maori,0,12590,0
50-54,1999,Male Maori,1,9380,10.6609808102345
55-59,1999,Male Maori,0,7330,0
60-64,1999,Male Maori,0,5580,0
65-69,1999,Male Maori,0,3860,0
70-74,1999,Male Maori,0,2310,0
75-79,1999,Male Maori,0,1120,0
80+,1999,Male Maori,0,760,0
Total,1999,Male Maori,59,277400,21.268925739005
00-04,2000,Male Maori,0,38160,0
05-09,2000,Male Maori,0,37410,0
10-14,2000,Male Maori,1,33430,2.99132515704457
15-19,2000,Male Maori,10,27260,36.6837857666911
20-24,2000,Male Maori,13,23400,55.5555555555556
25-29,2000,Male Maori,14,21550,64.9651972157773
30-34,2000,Male Maori,12,20420,58.7659157688541
35-39,2000,Male Maori,5,19970,25.0375563345018
40-44,2000,Male Maori,3,16670,17.996400719856
45-49,2000,Male Maori,3,13070,22.9533282325937
50-54,2000,Male Maori,2,9970,20.0601805416249
55-59,2000,Male Maori,3,7340,40.8719346049046
60-64,2000,Male Maori,0,5900,0
65-69,2000,Male Maori,0,4040,0
70-74,2000,Male Maori,0,2440,0
75-79,2000,Male Maori,0,1200,0
80+,2000,Male Maori,0,810,0
Total,2000,Male Maori,66,283000,23.321554770318
00-04,2001,Male Maori,0,38280,0
05-09,2001,Male Maori,0,37610,0
10-14,2001,Male Maori,0,34860,0
15-19,2001,Male Maori,8,27840,28.735632183908
20-24,2001,Male Maori,13,23470,55.3898593949723
25-29,2001,Male Maori,11,21510,51.1390051139005
30-34,2001,Male Maori,10,20910,47.8240076518412
35-39,2001,Male Maori,4,20170,19.8314328210213
40-44,2001,Male Maori,5,17400,28.735632183908
45-49,2001,Male Maori,2,13650,14.6520146520147
50-54,2001,Male Maori,0,10640,0
55-59,2001,Male Maori,2,7460,26.8096514745308
60-64,2001,Male Maori,2,6170,32.4149108589951
65-69,2001,Male Maori,2,4250,47.0588235294118
70-74,2001,Male Maori,0,2550,0
75-79,2001,Male Maori,0,1290,0
80+,2001,Male Maori,0,840,0
Total,2001,Male Maori,59,288900,20.4222914503288
00-04,2002,Male Maori,0,38270,0
05-09,2002,Male Maori,0,37320,0
10-14,2002,Male Maori,0,35800,0
15-19,2002,Male Maori,9,29450,30.5602716468591
20-24,2002,Male Maori,13,22930,56.694286960314
25-29,2002,Male Maori,10,20840,47.9846449136276
30-34,2002,Male Maori,13,21170,61.4076523382145
35-39,2002,Male Maori,6,20110,29.8359025360517
40-44,2002,Male Maori,4,18230,21.9418540866703
45-49,2002,Male Maori,2,14230,14.0548137737175
50-54,2002,Male Maori,3,11230,26.7141585040071
55-59,2002,Male Maori,1,7850,12.7388535031847
60-64,2002,Male Maori,0,6350,0
65-69,2002,Male Maori,0,4430,0
70-74,2002,Male Maori,0,2700,0
75-79,2002,Male Maori,0,1390,0
80+,2002,Male Maori,0,880,0
Total,2002,Male Maori,61,293200,20.8049113233288
00-04,2003,Male Maori,0,38030,0
05-09,2003,Male Maori,0,37210,0
10-14,2003,Male Maori,4,36360,11.001100110011
15-19,2003,Male Maori,10,30820,32.4464633354964
20-24,2003,Male Maori,11,22790,48.2667836770513
25-29,2003,Male Maori,8,20160,39.6825396825397
30-34,2003,Male Maori,12,21270,56.4174894217207
35-39,2003,Male Maori,9,19910,45.2034153691612
40-44,2003,Male Maori,7,18980,36.8809272918862
45-49,2003,Male Maori,2,14800,13.5135135135135
50-54,2003,Male Maori,1,11690,8.55431993156544
55-59,2003,Male Maori,0,8400,0
60-64,2003,Male Maori,0,6500,0
65-69,2003,Male Maori,0,4600,0
70-74,2003,Male Maori,0,2870,0
75-79,2003,Male Maori,0,1500,0
80+,2003,Male Maori,0,900,0
Total,2003,Male Maori,64,296800,21.5633423180593
00-04,2004,Male Maori,0,37970,0
05-09,2004,Male Maori,0,36950,0
10-14,2004,Male Maori,2,36650,5.45702592087312
15-19,2004,Male Maori,13,31780,40.9062303335431
20-24,2004,Male Maori,14,23210,60.3188280913399
25-29,2004,Male Maori,11,19760,55.668016194332
30-34,2004,Male Maori,15,21030,71.3266761768902
35-39,2004,Male Maori,7,19930,35.1229302558956
40-44,2004,Male Maori,10,19280,51.8672199170124
45-49,2004,Male Maori,2,15540,12.8700128700129
50-54,2004,Male Maori,1,12100,8.26446280991736
55-59,2004,Male Maori,2,8920,22.4215246636771
60-64,2004,Male Maori,1,6650,15.0375939849624
65-69,2004,Male Maori,1,4810,20.7900207900208
70-74,2004,Male Maori,0,3000,0
75-79,2004,Male Maori,1,1620,61.7283950617284
80+,2004,Male Maori,0,950,0
Total,2004,Male Maori,80,300200,26.6489007328448
00-04,2005,Male Maori,0,37570,0
05-09,2005,Male Maori,0,36830,0
10-14,2005,Male Maori,0,36700,0
15-19,2005,Male Maori,13,32400,40.1234567901235
20-24,2005,Male Maori,17,23880,71.1892797319933
25-29,2005,Male Maori,9,19820,45.4086781029263
30-34,2005,Male Maori,17,20820,81.6522574447647
35-39,2005,Male Maori,9,19830,45.3857791225416
40-44,2005,Male Maori,6,19350,31.0077519379845
45-49,2005,Male Maori,2,16200,12.3456790123457
50-54,2005,Male Maori,3,12480,24.0384615384615
55-59,2005,Male Maori,0,9500,0
60-64,2005,Male Maori,0,6670,0
65-69,2005,Male Maori,1,5140,19.4552529182879
70-74,2005,Male Maori,0,3160,0
75-79,2005,Male Maori,1,1740,57.4712643678161
80+,2005,Male Maori,0,1030,0
Total,2005,Male Maori,78,303100,25.7340811613329
00-04,2006,Male Maori,0,37630,0
05-09,2006,Male Maori,0,36560,0
10-14,2006,Male Maori,0,36500,0
15-19,2006,Male Maori,18,32900,54.7112462006079
20-24,2006,Male Maori,12,24240,49.5049504950495
25-29,2006,Male Maori,7,20470,34.1963849535906
30-34,2006,Male Maori,16,20300,78.8177339901478
35-39,2006,Male Maori,9,19960,45.0901803607214
40-44,2006,Male Maori,7,19220,36.420395421436
45-49,2006,Male Maori,3,16750,17.910447761194
50-54,2006,Male Maori,2,12960,15.4320987654321
55-59,2006,Male Maori,2,10020,19.9600798403194
60-64,2006,Male Maori,2,6810,29.3685756240822
65-69,2006,Male Maori,0,5410,0
70-74,2006,Male Maori,0,3360,0
75-79,2006,Male Maori,0,1820,0
80+,2006,Male Maori,0,1110,0
Total,2006,Male Maori,78,306000,25.4901960784314
00-04,2007,Male Maori,0,39570,0
05-09,2007,Male Maori,0,36570,0
10-14,2007,Male Maori,0,35960,0
15-19,2007,Male Maori,11,33400,32.9341317365269
20-24,2007,Male Maori,11,24690,44.5524503847712
25-29,2007,Male Maori,8,20470,39.0815828041036
30-34,2007,Male Maori,14,19740,70.9219858156028
35-39,2007,Male Maori,9,20160,44.6428571428571
40-44,2007,Male Maori,5,19150,26.1096605744125
45-49,2007,Male Maori,5,17330,28.8517022504328
50-54,2007,Male Maori,2,13510,14.8038490007402
55-59,2007,Male Maori,1,10470,9.55109837631328
60-64,2007,Male Maori,1,7190,13.9082058414465
65-69,2007,Male Maori,1,5570,17.9533213644524
70-74,2007,Male Maori,0,3500,0
75-79,2007,Male Maori,0,1940,0
80+,2007,Male Maori,0,1190,0
Total,2007,Male Maori,68,310400,21.9072164948454
00-04,2008,Male Maori,0,41630,0
05-09,2008,Male Maori,0,36620,0
10-14,2008,Male Maori,2,35910,5.56947925368978
15-19,2008,Male Maori,6,33640,17.8359096313912
20-24,2008,Male Maori,12,25270,47.4871388998813
25-29,2008,Male Maori,4,20190,19.8117880138683
30-34,2008,Male Maori,10,19360,51.6528925619835
35-39,2008,Male Maori,5,20280,24.65483234714
40-44,2008,Male Maori,7,18990,36.8615060558189
45-49,2008,Male Maori,2,18020,11.0987791342952
50-54,2008,Male Maori,4,14030,28.5103349964362
55-59,2008,Male Maori,0,10880,0
60-64,2008,Male Maori,2,7720,25.9067357512953
65-69,2008,Male Maori,0,5680,0
70-74,2008,Male Maori,1,3720,26.8817204301075
75-79,2008,Male Maori,0,2030,0
80+,2008,Male Maori,0,1300,0
Total,2008,Male Maori,55,315300,17.4437044084998
00-04,2009,Male Maori,0,43130,0
05-09,2009,Male Maori,0,36830,0
10-14,2009,Male Maori,3,36060,8.31946755407654
15-19,2009,Male Maori,11,33770,32.5732899022801
20-24,2009,Male Maori,12,26020,46.1183704842429
25-29,2009,Male Maori,6,20000,30
30-34,2009,Male Maori,5,19090,26.1917234154007
35-39,2009,Male Maori,9,20100,44.7761194029851
40-44,2009,Male Maori,3,19140,15.6739811912226
45-49,2009,Male Maori,2,18390,10.8754758020663
50-54,2009,Male Maori,2,14760,13.550135501355
55-59,2009,Male Maori,1,11290,8.85739592559787
60-64,2009,Male Maori,2,8220,24.330900243309
65-69,2009,Male Maori,0,5810,0
70-74,2009,Male Maori,1,3900,25.6410256410256
75-79,2009,Male Maori,0,2150,0
80+,2009,Male Maori,0,1430,0
Total,2009,Male Maori,57,320100,17.8069353327085
